" ",,"Model 1: Report",,"Model 2: Further action",,"Model 3: Arrest"
"Coefficient","SE","Coefficient","SE","Coefficient","SE"
"Hate crime","−.218",".077**","−.259",".078**","−.406",".139***"
"Victim characteristics"," "," "," "," "," "," "
"Male","−.360",".038***","−.350",".039***","−.013",".062"
"Black",".015",".059",".106",".060",".014",".095"
"Other race","−.213",".076**","−.144",".078","−.149",".132"
"Hispanic","−.025",".057",".043",".058","−.145",".094"
"Age",".015",".001***",".015",".001***","−.001",".002"
"High school","−.024",".039",".001",".040","−.102",".062"
"Incident characteristics"," "," "," "," "," "," "
"White offender","−.036",".048","−.087",".048",".154",".079"
"Male offender","−.019",".051",".037",".051",".035",".082"
"Weapon",".802",".048***",".767",".047***",".468",".067***"
"Offender group",".416",".047***",".349",".047***","−.547",".076***"
"Stranger",".236",".041***",".102",".042*","−.177",".068**"
"Injury",".836",".046***",".941",".045***",".760",".064***"
"N",,"12,970",,"12,970",,"5,592"
