" ",,,,"PHRC",,,,"NIBRS"
" ",,"Model 4: Arrest",,"Model 5: Arrest w/ Interaction",,"Model 6: Arrest",,"Model 7: Arrest w/ Interaction"
" ","Coefficient","SE","Coefficient","SE","Coefficient","SE","Coefficient","SE"
"Victim characteristics"," "," "," "," "," "," "," "," "
"Male","−.606",".216**","−.574",".219**",".014",".075",".005",".076"
"Black","−.153",".233","−1.491",".535**",".123",".073","−.096",".460"
"Hispanic","−1.133",".460*",".236",".597","−.056",".099","−.259",".199"
"Other race","−.232",".350","−.180",".347",".400",".163*",".400",".163*"
"Age","–","–","–","–",".006",".003*",".006",".003*"
"Offender characteristics"," "," "," "," "," "," "," "," "
"Male","1.548",".225***","1.500",".226***",".009",".095",".019",".095"
"White",".697",".236**",".307",".297",".443",".071***",".302",".094**"
"Multiple offenders",".618",".204**",".645",".207**","−.116",".076","−.117",".076"
"Hate group","1.838",".388***","1.883",".385***","–","–","–","–"
"Other offender","−.034",".573",".015",".581","–","–","–","–"
"Stranger","–","–","–","–","−.405",".070***","−.427",".071***"
"Other characteristics"," "," "," "," "," "," "," "," "
"Personal crime","1.142",".207***","1.164",".208***"," ","–","–","–"
"Weapon",".116",".273",".187",".279",".339",".084***",".344",".084***"
"Injury","–","–","–","–",".125",".067",".127",".067"
"Interactions"," "," "," "," "," "," "," "," "
"White offender/black victim"," "," ","1.926",".614**"," "," ",".329",".157*"
"White offender/hispanic victim"," "," ","−1.859",".888*"," "," ",".281",".228"
"N",,"1,406",,"1,406",,"3,925",,"3,925"
